Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
80465;Morrison;CO;39.620748;-105.18121;-7;1;39.620748,-105.18121
81023;Beulah;CO;38.069421;-104.95609;-7;1;38.069421,-104.95609
81527;Whitewater;CO;38.833235;-108.58155;-7;1;38.833235,-108.58155
80306;Boulder;CO;40.102219;-105.384694;-7;1;40.102219,-105.384694
81120;Antonito;CO;37.086403;-106.08325;-7;1;37.086403,-106.08325
80132;Monument;CO;39.098692;-104.8684;-7;1;39.098692,-104.8684
80652;Roggen;CO;40.095142;-104.28784;-7;1;40.095142,-104.28784
80648;Nunn;CO;40.746862;-104.76208;-7;1;40.746862,-104.76208
80913;Colorado Springs;CO;38.743871;-104.76387;-7;1;38.743871,-104.76387
81401;Montrose;CO;38.436409;-107.8625;-7;1;38.436409,-107.8625
80151;Englewood;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
81435;Telluride;CO;37.932874;-107.88874;-7;1;37.932874,-107.88874
80160;Littleton;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
81231;Gunnison;CO;38.702309;-106.940201;-7;1;38.702309,-106.940201
80802;Arapahoe;CO;38.834807;-102.1746;-7;1;38.834807,-102.1746
80801;Anton;CO;39.727493;-103.10362;-7;1;39.727493,-103.10362
80930;Colorado Springs;CO;38.811434;-104.50403;-7;1;38.811434,-104.50403
81601;Glenwood Springs;CO;39.533318;-107.32107;-7;1;39.533318,-107.32107
80061;Westminster;CO;39.862286;-105.072049;-7;1;39.862286,-105.072049
80469;Phippsburg;CO;40.218412;-106.94494;-7;1;40.218412,-106.94494
80810;Cheyenne Wells;CO;38.846982;-102.37913;-7;1;38.846982,-102.37913
80444;Georgetown;CO;39.694915;-105.7258;-7;1;39.694915,-105.7258
81130;Creede;CO;37.705276;-106.95429;-7;1;37.705276,-106.95429
81089;Walsenburg;CO;37.621071;-104.80456;-7;1;37.621071,-104.80456
81066;Red Wing;CO;37.730256;-105.31806;-7;1;37.730256,-105.31806
81144;Monte Vista;CO;37.569501;-106.14946;-7;1;37.569501,-106.14946
80918;Colorado Springs;CO;38.916226;-104.76602;-7;1;38.916226,-104.76602
80047;Aurora;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80103;Byers;CO;39.746563;-104.17162;-7;1;39.746563,-104.17162
81041;Granada;CO;37.962678;-102.33025;-7;1;37.962678,-102.33025
81004;Pueblo;CO;38.197344;-104.6331;-7;1;38.197344,-104.6331
81525;Mack;CO;39.244427;-108.93781;-7;1;39.244427,-108.93781
80903;Colorado Springs;CO;38.834282;-104.81654;-7;1;38.834282,-104.81654
